place_name,review_text,rating,published_at_date
Curly Hair Designs,,5,02/06/2024 19:12
Curly Hair Designs,"I ve been a client of Curly Hair Designs since 2018. Hands down, consistently the best curly cut I ve had.",5,12:42.3
Curly Hair Designs,Pure awesomeness!!! Will return for sure!!! Rhea is excellent! My hair looks amazing,5,12:42.4
Curly Hair Designs,"We just had the most wonderful experience at Curly Hair Designs. My daughter had an appointment today with the marvellous owner, Paula, and her fantastic apprentice, Ayesha.  I cannot express how thrilled we are with the results! We were shown such kindness and care and it truly made our day. The transformation of my daughter s curls is amazing, but it s the transformation in my daughter s confidence that I m most excited about. She LOVES her hair and feels so beautiful and it made me tear up to see her feeling so powerful and self-assured.  Paula really took the time to show us both how to help my daughter s curls get and stay hydrated and healthy. I ve struggled for years with a million different products and I finally feel like I have a system and tools to help my daughter, and I m just so grateful!. My only wish is that I had found Paula and Curly Hair Designs sooner. Thank you Paula and Ayesha for being so patient and for taking such care with my daughter and I.",5,12:42.4
Curly Hair Designs,"I truly can t recommend this business enough. The work that Paula does in education and hair care during your appointment is incredible. Her and her team are professional, warm, and really know their stuff. I brought my daughter here about a year ago and it really did change our lives. You can t go wrong here.",5,12:42.4
Curly Hair Designs,I have been exclusively going to Curly Hair design for my hair cuts for almost a decade now. Paula and Rhea provide the best experience and perfect cut every time.,5,12:42.4
Curly Hair Designs,"Rhea was fantastic! Having not been to a hair stylist for quite awhile, I did lots of research to determine where I wanted to go and which stylist I wanted to see. I was not disappointed at all. Rhea answered all my questions, told me everything she was doing and all the products and techniques she was using so I could try to replicate the results myself at home. Its not quite been a week so well see how that goes. I love my new look (she gave me a great cut, and replicated the style I had in mind) and the fact that Im not tying up my hair or hiding it away. I feel inspired to continue going with my natural curls.",5,12:42.4
Curly Hair Designs,"Candice was incredibly attentive to my curls, and was clear about every step she was planning for my cut and style. Her encouragement and tips about maintaining my hair and battling my frizz will definitely get me to my next appointment!",5,12:42.4
Curly Hair Designs,I had such a good experience with Candice I got a wash and go with no cut and prepaid. She was so detailed and meticulous and had answers to my questions. I actually dozed off a bit at the shampoo bowl. I have  4c hair  and this appointment was what I needed to start my week,4,12:42.4
Curly Hair Designs,,5,12:42.4
Curly Hair Designs,Great friendly service. Always helping me find the best ways to manage my hair and good advice on keeping it healthy.,5,12:42.9
Curly Hair Designs,"Today was my first time in years getting my hair done properly. Candice is the one that did my hair. She was very patient, answered all my questions and frankly made my whole day. Thank you so much for this wonderful experience, I can t wait to go back.",5,12:42.9
Curly Hair Designs,"I had such a wonderful experience with Candice. She asked me lots of questions, listened to my preferences and explained everything she recommended and what she was doing. Best experience ever!!!",5,12:42.9
Curly Hair Designs,"Rhea takes the time to truly understand what a client is looking. The conversation is always pleasant and uplifting. While styling, she educates you on how to style your hair and what products to use according to the style you are after. I have never been disappointed after a visit with Rhea.",5,12:42.9
Curly Hair Designs,"Ive been going to this salon for a couple years and my hair had never been healthier. For eeference I have kinky hair and am a natural. The stylist partner with you to teach you how to take care of your hair. If you have curly hair no matter your ethnicity this is the place to go, you will not regret your decision.",5,12:42.9
Curly Hair Designs,"The appointment went very well , I was  kept informed of all the products that was being used on my hair and the benefits of each product. The salon was clean and the staff was very friendly. It was a very enjoyable experience.",5,12:42.9
Curly Hair Designs,"Rhea is just incredible. I cant say enough good things about my experience at CHD. Ive been getting my hair cut here for years and I have to echo other reviews raving about the knowledge and care that goes into every visit. My hair has never looked better, curlier, or healthier. I now understand my curls!! But the cherry on top is the styling that Rhea did for my wedding last weekend. She took so much care in setting each curl perfectly, and was even ahead of schedule! People could not stop complimenting my natural curls! And they held through a downpour of rain, photos, dancing, and even overnight. I woke up the next morning still looking perfect. I think Rhea might be magic!",5,12:42.9
