place_id,name,reviews,rating,address,link
ChIJf6de11oHzkwRlKcXSOTLn6Q,Curly Hair Designs,109,4.8,"275 Britannia Rd, Ottawa, ON K2B 5X3",https://www.google.com/maps/place/Curly+Hair+Designs/data=!4m7!3m6!1s0x4cce075ad75ea77f:0xa49fcbe44817a794!8m2!3d45.3654994!4d-75.7960142!16s%2Fg%2F1tfqql1d!19sChIJf6de11oHzkwRlKcXSOTLn6Q?authuser=0&hl=en&rclk=1
ChIJL_85-AUFzkwRq9g_6MzYYkQ,Lucas Nault Hair Studio,233,4.8,"551 Somerset St W, Ottawa, ON K1R 5J9",https://www.google.com/maps/place/Lucas+Nault+Hair+Studio/data=!4m7!3m6!1s0x4cce0505f839ff2f:0x4462d8cce83fd8ab!8m2!3d45.4131776!4d-75.7021378!16s%2Fg%2F1tl8kbc9!19sChIJL_85-AUFzkwRq9g_6MzYYkQ?authuser=0&hl=en&rclk=1
ChIJM2uPqFMBzkwRFG2evFx3t1I,Ndeg1 SALON,60,5,"1090 Ambleside Dr Unit 107, Ottawa, ON K2B 8G7",https://www.google.com/maps/place/N%C2%B01+SALON/data=!4m7!3m6!1s0x4cce0153a88f6b33:0x52b7775cbc9e6d14!8m2!3d45.3725906!4d-75.780412!16s%2Fg%2F11shj8_ccx!19sChIJM2uPqFMBzkwRFG2evFx3t1I?authuser=0&hl=en&rclk=1
ChIJARckxAMFzkwRYoRWyMCOLYw,A-One Hair Salon,145,4.5,"1223 Bank St, Ottawa, ON K1S 3X7",https://www.google.com/maps/place/A-One+Hair+Salon/data=!4m7!3m6!1s0x4cce0503c4241701:0x8c2d8ec0c8568462!8m2!3d45.3915605!4d-75.6808786!16s%2Fg%2F11hd1wcttn!19sChIJARckxAMFzkwRYoRWyMCOLYw?authuser=0&hl=en&rclk=1
ChIJ6VfPzzgEzkwRppw0SL3toJw,THS The Hair Salon,39,4.8,"356 Woodroffe Ave, Ottawa, ON K2A 4E2",https://www.google.com/maps/place/THS+The+Hair+Salon/data=!4m7!3m6!1s0x4cce0438cfcf57e9:0x9ca0edbd48349ca6!8m2!3d45.3704979!4d-75.7711711!16s%2Fg%2F1td6rw1x!19sChIJ6VfPzzgEzkwRppw0SL3toJw?authuser=0&hl=en&rclk=1
ChIJs2bwmNIAzkwRJLmBPEuEey4,Salon Nick,136,4.9,"2730 Iris St #6, Ottawa, ON K2C 1E6",https://www.google.com/maps/place/Salon+Nick/data=!4m7!3m6!1s0x4cce00d298f066b3:0x2e7b844b3c81b924!8m2!3d45.3477338!4d-75.7865204!16s%2Fg%2F1tfjqb0z!19sChIJs2bwmNIAzkwRJLmBPEuEey4?authuser=0&hl=en&rclk=1
ChIJ4VRB4gIEzkwRLjx1hjpQDd8,Richmond Hair Studio,41,4.5,"484 Ancaster Ave, Ottawa, ON K2B 5B7",https://www.google.com/maps/place/Richmond+Hair+Studio/data=!4m7!3m6!1s0x4cce0402e24154e1:0xdf0d503a86753c2e!8m2!3d45.3701258!4d-75.7727404!16s%2Fg%2F1tj1m3z3!19sChIJ4VRB4gIEzkwRLjx1hjpQDd8?authuser=0&hl=en&rclk=1
ChIJLxz5ny8BzkwR0JZyladYBd4,Claudette's Coiffure & Boutique Inc,117,4,"360 Croydon Ave, Ottawa, ON K2B 8A4",https://www.google.com/maps/place/Claudette%27s+Coiffure+%26+Boutique+Inc/data=!4m7!3m6!1s0x4cce012f9ff91c2f:0xde0558a7957296d0!8m2!3d45.3641952!4d-75.7880692!16s%2Fg%2F1tffnzk3!19sChIJLxz5ny8BzkwR0JZyladYBd4?authuser=0&hl=en&rclk=1
ChIJAQAAUMoGzkwRRBiQfbfp-PM,Saco Hair Ottawa,174,4.5,"2121 Carling Ave #24c, Ottawa, ON K2A 1H2",https://www.google.com/maps/place/Saco+Hair+Ottawa/data=!4m7!3m6!1s0x4cce06ca50000001:0xf3f8e9b77d901844!8m2!3d45.3736748!4d-75.7692205!16s%2Fg%2F1tmxw6hw!19sChIJAQAAUMoGzkwRRBiQfbfp-PM?authuser=0&hl=en&rclk=1
ChIJ1xQh6IUFzkwRz94GE7ythy8,Hair by JamieG,51,5,"195 Clearview Ave, Ottawa, ON K1Z 6S1",https://www.google.com/maps/place/Hair+by+JamieG/data=!4m7!3m6!1s0x4cce0585e82114d7:0x2f87adbc1306decf!8m2!3d45.4004717!4d-75.7518288!16s%2Fg%2F11k_l3b28t!19sChIJ1xQh6IUFzkwRz94GE7ythy8?authuser=0&hl=en&rclk=1
ChIJ4zWzM6oGzkwRTQO_a_XFIlk,Pierino Scarfo Salon Westboro,402,4.8,"432 Richmond Rd, Ottawa, ON K2A 0G2",https://www.google.com/maps/place/Pierino+Scarfo+Salon+Westboro/data=!4m7!3m6!1s0x4cce06aa33b335e3:0x5922c5f56bbf034d!8m2!3d45.389896!4d-75.7579459!16s%2Fg%2F11b7fx99f9!19sChIJ4zWzM6oGzkwRTQO_a_XFIlk?authuser=0&hl=en&rclk=1
ChIJAX3OhiABzkwR97k9qI0ZXOQ,Shannon Doyle Beauty,68,5,"70 McEwen Ave, Ottawa, ON K2B 5M3",https://www.google.com/maps/place/Shannon+Doyle+Beauty/data=!4m7!3m6!1s0x4cce012086ce7d01:0xe45c198da83db9f7!8m2!3d45.371492!4d-75.7830807!16s%2Fg%2F11ghnbpwmk!19sChIJAX3OhiABzkwR97k9qI0ZXOQ?authuser=0&hl=en&rclk=1
ChIJOeQkzcwGzkwRj9d9ayNi7yI,Tony And Chris Hair Studio,18,4.9,"2280 Carling Ave, Ottawa, ON K2B 7G1",https://www.google.com/maps/place/Tony+And+Chris+Hair+Studio/data=!4m7!3m6!1s0x4cce06cccd24e439:0x22ef62236b7dd78f!8m2!3d45.3680879!4d-75.7744472!16s%2Fg%2F1tz710kp!19sChIJOeQkzcwGzkwRj9d9ayNi7yI?authuser=0&hl=en&rclk=1
ChIJPflCMzMBzkwRnl3tZm04TZ8,Nevio's Mane Image Hair Studio,21,5,"2255 Carling Ave, Ottawa, ON K2B 7Z5",https://www.google.com/maps/place/Nevio%27s+Mane+Image+Hair+Studio/data=!4m7!3m6!1s0x4cce01333342f93d:0x9f4d386d66ed5d9e!8m2!3d45.3686731!4d-75.7746526!16s%2Fg%2F1tltl_bd!19sChIJPflCMzMBzkwRnl3tZm04TZ8?authuser=0&hl=en&rclk=1
ChIJg2Fq26sHzkwRzHgFxMtZKOg,Hair World Salon & Spa,167,4.5,"1033 Maitland Ave, Ottawa, ON K2C 2B8",https://www.google.com/maps/place/Hair+World+Salon+%26+Spa/data=!4m7!3m6!1s0x4cce07abdb6a6183:0xe82859cbc40578cc!8m2!3d45.3683367!4d-75.7530282!16s%2Fg%2F1hc2gyq8n!19sChIJg2Fq26sHzkwRzHgFxMtZKOg?authuser=0&hl=en&rclk=1
ChIJkcOHx8UHzkwRTFwBC2s93Vs,Flawless Hair Salon - Ottawa Balayage Expert,613,4.6,"6 Antares Dr Unit 4, Ottawa, ON K2E 8A9",https://www.google.com/maps/place/Flawless+Hair+Salon+-+Ottawa+Balayage+Expert/data=!4m7!3m6!1s0x4cce07c5c787c391:0x5bdd3d6b0b015c4c!8m2!3d45.3360686!4d-75.7066255!16s%2Fg%2F11c3w1lbbr!19sChIJkcOHx8UHzkwRTFwBC2s93Vs?authuser=0&hl=en&rclk=1
ChIJq6qqesoGzkwR3Xl_qi-CdPw,Francesco Hairstylist & Barber,156,4.4,"2121 Carling Ave, Ottawa, ON K2A 1H2",https://www.google.com/maps/place/Francesco+Hairstylist+%26+Barber/data=!4m7!3m6!1s0x4cce06ca7aaaaaab:0xfc74822faa7f79dd!8m2!3d45.3737231!4d-75.7694948!16s%2Fg%2F1wh4fg_4!19sChIJq6qqesoGzkwR3Xl_qi-CdPw?authuser=0&hl=en&rclk=1
ChIJdzBEvngFzkwRWMhTEJIaYRA,Designer 2 Hair Salon,43,4.9,"14 Clarence St., Ottawa, ON K1N 6Z5",https://www.google.com/maps/place/Designer+2+Hair+Salon/data=!4m7!3m6!1s0x4cce0578be443077:0x10611a921053c858!8m2!3d45.4280942!4d-75.6950965!16s%2Fg%2F11s4rtpjrh!19sChIJdzBEvngFzkwRWMhTEJIaYRA?authuser=0&hl=en&rclk=1
ChIJAQDsmy4HzkwRTPxhaz86Zq4,HairRenos.ca,24,5,"2296 Badger Crescent Suite 2, Ottawa, ON K2C 1J1",https://www.google.com/maps/place/HairRenos.ca/data=!4m7!3m6!1s0x4cce072e9bec0001:0xae663a3f6b61fc4c!8m2!3d45.3496091!4d-75.777341!16s%2Fg%2F11gh0cst1c!19sChIJAQDsmy4HzkwRTPxhaz86Zq4?authuser=0&hl=en&rclk=1
ChIJhYiXojgEzkwR-ccV16vN14A,Mint Hair Studio,113,4.9,"9 Sherbrooke Ave, Ottawa, ON K1Y 1R8",https://www.google.com/maps/place/Mint+Hair+Studio/data=!4m7!3m6!1s0x4cce0438a2978885:0x80d7cdabd715c7f9!8m2!3d45.4026202!4d-75.7252552!16s%2Fg%2F1hc77k3zh!19sChIJhYiXojgEzkwR-ccV16vN14A?authuser=0&hl=en&rclk=1
ChIJuWYN4RcEzkwRGy7H2UK6NLY,On Edge Studio,173,4.8,"1267 Wellington St. W, Ottawa, ON K1Y 0W3",https://www.google.com/maps/place/On+Edge+Studio/data=!4m7!3m6!1s0x4cce0417e10d66b9:0xb634ba42d9c72e1b!8m2!3d45.3994866!4d-75.7336589!16s%2Fg%2F1pzwfdbnz!19sChIJuWYN4RcEzkwRGy7H2UK6NLY?authuser=0&hl=en&rclk=1
ChIJV8j1ieMFzkwRBaqUpiYwX8M,Precision Styling & Il Paradiso Spa,90,4.5,"2269 Riverside Dr. 2nd Floor, Ottawa, ON K1H 8K2",https://www.google.com/maps/place/Precision+Styling+%26+Il+Paradiso+Spa/data=!4m7!3m6!1s0x4cce05e389f5c857:0xc35f3026a694aa05!8m2!3d45.386562!4d-75.6760864!16s%2Fg%2F1tncsj8v!19sChIJV8j1ieMFzkwRBaqUpiYwX8M?authuser=0&hl=en&rclk=1
